Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung;;;;;
962;37069322;Raiffeisenbank Gymnich eG;Gymnich;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
963;37069330;Volksbank Haaren eG;Haaren;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
964;37069331;Raiffeisenbank von 1895 eG;Frechen;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
965;37069342;Volksbank Heimbach eG;Heimbach;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
966;37069355;Spardaka Hoengen eG;Hoengen;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
967;37069381;Spar- und Darlehnskasse Immendorf eG;Immendorf;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
968;37069401;Raiffeisenbank Junkersdorf eG;Junkersdorf;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
969;37069405;Raiffeisenbank Kaarst eG;Kaarst;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
970;37069412;RB eG, Heinsberg;Heinsberg, Geilenkirchen;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;16.03.2009;;;;;
971;37069412;RB eG Heinsberg;Heinsberg, Selfkant;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;16.03.2009;;;;;
972;37069412;Raiffeisenbank eG Heinsberg;Heinsberg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
973;37069427;Voba Dünnwald-Holweide eG;Dünnwald-Holweide;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
974;37069520;VR Bank Rhein-Sieg eG.;Rhein-Sieg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
975;37069521;Raiffeisenbank Rhein-Berg eG;Rhein-Berg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
976;37069524;RB Much-Ruppichteroth eG;Much-Ruppichteroth;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
977;37069620;Raiffeisenbank Radevormwald eG;Radevormwald;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
978;37069627;Raiba Rheinbach Euskirchen eG;Rheinbach Euskirchen;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
979;37069639;Rosbacher Raiffeisenbank eG;Rosbach;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
980;37069642;Raiffeisenbank Simmerath eG;Simmerath;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
981;37069707;Raiffeisenbank St. Augustin eG;St. Augustin;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
982;37069720;VR-Bank Nordeifel eG.;Nordeifel;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
983;37069805;Volksbank Wachtberg eG;Wachtberg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
984;37069840;VB Wipperfürth-Lindlar eG;Wipperfürth-Lindlar;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
985;37069991;Brühler Kreditbank eG;Brühl;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
986;37070024;Deutsche Bank Privat und Geschäftskunden AG;Bad Münstereifel;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
987;37070024;Deutsche Bank Privat und Geschäftskunden AG;Bergheim, Erft;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
988;37070024;Deutsche Bank Privat und Geschäftskunden AG;Bergisch Gladbach;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
989;37070024;Deutsche Bank Privat und Geschäftskunden AG;Brühl, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
990;37070024;Deutsche Bank Privat und Geschäftskunden AG;Dormagen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
991;37070024;Deutsche Bank Privat und Geschäftskunden AG;Eitorf;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
992;37070024;Deutsche Bank Privat und Geschäftskunden AG;Euskirchen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
993;37070024;Deutsche Bank Privat und Geschäftskunden AG;Frechen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
994;37070024;Deutsche Bank Privat und Geschäftskunden AG;Grevenbroich;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
995;37070024;Deutsche Bank Privat und Geschäftskunden AG;Hennef (Sieg);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
996;37070024;Deutsche Bank Privat und Geschäftskunden AG;Hürth, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
997;37070024;Deutsche Bank Privat und Geschäftskunden AG;Kerpen, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
998;37070024;Deutsche Bank Privat und Geschäftskunden AG;Köln;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
999;37070024;Deutsche Bank Privat und Geschäftskunden AG;Siegburg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1000;37070024;Deutsche Bank Privat und Geschäftskunden AG;Troisdorf;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1001;37070024;Deutsche Bank Privat und Geschäftskunden AG;Wesseling, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1002;37070060;Deutsche Bank AG;Grevenbroich;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1003;37070060;Deutsche Bank AG;Brühl, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1004;37070060;Deutsche Bank AG;Bergisch Gladbach;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1005;37070060;Deutsche Bank AG;Bergheim, Erft;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1006;37070060;Deutsche Bank AG;Euskirchen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1007;37070060;Deutsche Bank AG;Dormagen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1008;37070060;Deutsche Bank AG;Frechen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1009;37070060;Deutsche Bank AG;Köln;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1010;37070060;Deutsche Bank AG;Hennef (Sieg);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1011;37070060;Deutsche Bank AG;Troisdorf;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1012;37070060;Deutsche Bank AG;Siegburg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1013;37070060;Deutsche Bank AG;Wesseling, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1014;37070060;Deutsche Bank AG;Bad Münstereifel;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1015;37070060;Deutsche Bank AG;Hürth, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1016;37070060;Deutsche Bank AG;Eitorf;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1017;37070060;Deutsche Bank AG;Kerpen, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1018;37080040;Dresdner Bank;Brühl;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1019;37080040;Dresdner Bank;Bergisch Gladbach;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1020;37080040;Dresdner Bank;Frechen;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1021;37080040;Dresdner Bank;Gummersbach;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1022;37080040;Dresdner Bank;Köln;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1023;37080040;Dresdner Bank;Leverkusen;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1024;37080040;Dresdner Bank;Troisdorf;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1025;37080040;Dresdner Bank;Siegburg;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1026;37080040;Dresdner Bank;Hürth;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1027;37080040;Dresdner Bank;Rheinbach;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1028;37080040;Dresdner Bank;Sankt Augustin;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1029;37080040;Dresdner Bank;Pulheim;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1030;37080040;Dresdner Bank;Overath;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1031;37080040;Dresdner Bank;Kerpen;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1032;37080040;Dresdner Bank;Wesseling;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1033;37080040;Dresdner Bank;Bergheim;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1034;37080040;Dresdner Bank;Bad Honnef;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1035;37160087;Kölner Bank eG;Köln;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1036;37161289;VR-Bank Rhein-Erft eG;Brühl-Erftstadt;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1037;37540050;Commerzbank;Leverkusen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1038;37551440;Sparkasse Leverkusen ;Leverkusen;Finanz Informatik GmbH & Co. KG (Rheinland);DSGV;i024.rl.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-rl.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
1039;37551780;Stadt-Sparkasse Langenfeld;Langenfeld;Finanz Informatik GmbH & Co. KG (Rheinland);DSGV;i037.rl.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-rl.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
1040;37560092;Volksbank Rhein-Wupper eG;Rhein-Wupper;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1041;37570024;Deutsche Bank Privat und Geschäftskunden AG;Burscheid, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1042;37570024;Deutsche Bank Privat und Geschäftskunden AG;Leichlingen (Rheinland);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1043;37570024;Deutsche Bank Privat und Geschäftskunden AG;Leverkusen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1044;37570064;Deutsche Bank AG;Burscheid, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1045;37570064;Deutsche Bank AG;Leichlingen (Rheinland);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1046;37570064;Deutsche Bank AG;Leverkusen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1047;38010111;SEB AG;Bonn;eigenes Rechenzentrum;BdB;;193.243.184.115;2.0.1;;ja;;;;;;;;;;;;19.09.2005;;;;;
1048;38020090;Bayerische Hypo- und Vereinsbank AG - HVB;Bonn;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
1049;38040007;Commerzbank;Bonn;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1050;38040007;Commerzbank;Bad Neuenahr-Ahrweiler;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1051;38040007;Commerzbank;Bad Honnef;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1052;38040007;Commerzbank;Euskirchen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1053;38040007;Commerzbank;Hennef ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1054;38040007;Commerzbank;Siegburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1055;38050000;Sparkasse KölnBonn ;Bonn;Finanz Informatik GmbH & Co. KG (Rheinland);DSGV;i014.rl.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-rl.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;27.04.2005;;;;;
1056;38051290;Stadtsparkasse Bad Honnef ;Bad Honnef;Finanz Informatik GmbH & Co. KG (Rheinland);DSGV;i076.rl.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-rl.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;27.04.2005;;;;;
1057;38060186;Volksbank Bonn Rhein-Sieg eG;Bonn Rhein-Sieg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1058;38070024;Deutsche Bank Privat und Geschäftskunden AG;Bad Honnef;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1059;38070024;Deutsche Bank Privat und Geschäftskunden AG;Bad Neuenahr-Ahrweiler;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1060;38070024;Deutsche Bank Privat und Geschäftskunden AG;Bonn;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1061;38070024;Deutsche Bank Privat und Geschäftskunden AG;Meckenheim, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1062;38070024;Deutsche Bank Privat und Geschäftskunden AG;Remagen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1063;38070024;Deutsche Bank Privat und Geschäftskunden AG;Rheinbach;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1064;38070059;Deutsche Bank AG;Bonn;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1065;38070059;Deutsche Bank AG;Bad Neuenahr-Ahrweiler;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1066;38070059;Deutsche Bank AG;Meckenheim, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1067;38070059;Deutsche Bank AG;Rheinbach;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1068;38070059;Deutsche Bank AG;Remagen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1069;38070059;Deutsche Bank AG;Bad Honnef;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1070;38080055;Dresdner Bank;Bonn;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1071;38160220;Raiffeisenbank Hardtbg.-Alfter;Hardtbg.-Alfter;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1072;38250110;Kreissparkasse Euskirchen ;Euskirchen;Finanz Informatik GmbH & Co. KG (Rheinland);DSGV;i031.rl.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-rl.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
1073;38260082;Volksbank Euskirchen eG;Euskirchen;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1074;38440016;Commerzbank;Bergneustadt;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1075;38440016;Commerzbank;Gummersbach;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
